Date physique,Entrepôt,kind,Quantité
2024-01-02,DP0517,sale,875.0
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,sale,250.0
2024-01-02,DP0517,sale,437.5
2024-01-02,DP0517,sale,1750.0
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1750.0
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0517,purchase,75.0
2024-01-02,DP0517,sale,75.0
2024-01-02,DP0517,sale,437.5
2024-01-02,DP0517,purchase,1750.0
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1750.0
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,1312.5
2024-01-02,DP0517,purchase,3500.0
2024-01-02,DP0517,purchase,437.5
2024-01-02,DP0517,purchase,10500.0
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,sale,2625.0
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,sale,1050.0
2024-01-02,DP0117,sale,1137.5
2024-01-02,DP0117,sale,1762.5
2024-01-02,DP0117,sale,425.0
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,purchase,250.0
2024-01-02,DP0117,purchase,1137.5
2024-01-02,DP0117,purchase,2625.0
2024-01-02,DP0117,purchase,1312.5
2024-01-02,DP0117,purchase,10500.0
2024-01-02,DP0117,sale,2187.5
2024-01-02,DP0117,purchase,10500.0
2024-01-02,DP0117,purchase,2187.5
2024-01-02,DP0117,purchase,2625.0
2024-01-02,DP0117,purchase,2625.0
2024-01-02,DP0117,purchase,2187.5
2024-01-02,DP0117,purchase,2187.5
2024-01-02,DP0117,purchase,2187.5
2024-01-02,DP0117,purchase,2187.5
2024-01-02,DP0117,sale,250.0
2024-01-02,DP0117,sale,1137.5
2024-01-02,DP0117,purchase,1137.5
2024-01-02,DP0117,purchase,250.0
2024-01-02,DP0117,sale,2625.0
2024-01-02,DP0117,sale,2625.0
2024-01-02,DP0117,purchase,2187.5
2024-01-02,DP0517,purchase,10500.0
2024-01-02,DP0117,sale,2375.0
2024-01-02,DP0517,sale,1750.0
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1237.5
2024-01-02,DP0517,sale,75.0
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,sale,1750.0
2024-01-02,DP0517,sale,1312.5
2024-01-02,DP0517,purchase,75.0
2024-01-02,DP0517,purchase,437.5
2024-01-03,DP0117,purchase,1312.5
2024-01-03,DP0117,purchase,1312.5
2024-01-03,DP0117,purchase,1312.5
2024-01-03,DP0117,purchase,2187.5
2024-01-03,DP0117,purchase,2187.5
2024-01-03,DP0117,purchase,1250.0
2024-01-03,DP0517,sale,225.0
2024-01-03,DP0117,purchase,1312.5
2024-01-03,DP0517,sale,2187.5
2024-01-03,DP0117,purchase,425.0
2024-01-03,DP0117,sale,425.0
2024-01-03,DP0117,sale,25.0
2024-01-03,DP0517,sale,2625.0
2024-01-03,DP0517,sale,2187.5
2024-01-03,DP0117,purchase,1812.5
2024-01-03,DP0117,purchase,425.0
2024-01-03,DP0117,purchase,25.0
